Unnamed: 0,ID,Name,Age,Email,Join Date,Salary,Department
14,9b83a5e5-9516-493f-86f8-d6c445edb501,Nicole Cardenas,60.0,griffinlinda@harrison.com,2003-10-16,51625.81440265695,Marketing
23,13b6428a-ba54-4531-87a1-72c3c3ccf765,Laura Davis,60.0,garciaralph@hayes-hernandez.biz,1989-10-06,61209.0,Engineeringi
57,85fd1b76-fa4c-4b27-916b-69a68efd2f3c,Jason Stephens,54.0,parksandrea@brown.biz,2014-11-19,40452.54850449875,Marketing
74,ee302c6d-5164-4b86-bad1-b9624b44c130,Mr Larry Mcpherson,23.0,austingillespie@gould-chapman.com,1972-05-17,75391.0,HR
77,994122b1-32e0-4220-83bc-d72267847a23,Richard Brown,45.0,erin29@garza.net,1979-04-04,90216.0,Marketing
170,c5fbfd84-8b5a-48e9-a739-8d903ebdd437,Kristen Moyer,52.0,gmartin@valentine.com,2015-08-23,80231.0,HR
173,78aaaf64-9a49-40b1-8968-bba324b58d2a,Alice Medina,46.0,craigfrederick@mitchell-perry.com,2010-04-08,99875.0,Sales
177,bf18d4cc-9c52-41f8-a032-b238c19b189a,Rodney Burns,53.0,millscourtney@reese.com,1971-09-05,140716.0,Salesj
203,77b5b339-6777-4cf9-8369-a8f79189bcde,Brandi Fowlerreport,43.0,vlogan@herrera-rivas.org,2010-04-22,36232.01186133541,Marketing
273,175b94dc-565d-44fe-8893-92da19338b08,Jeremiah Parkereverybody,48.0,acarpenter@merritt-schmidt.com,2020-05-06,63006.0,Marketing
287,55ad5bbd-fea8-4aea-9c69-e31b982147a0,Michael Fox,32.0,david49@floyd-fox.biz,2021-09-05,120130.0,HR
295,98b7eead-4c2a-4019-abfa-0bafd436f175,Adam Howell,41.0,marshalldana@long.com,1978-12-30,58856.44452480306,HR
431,6a720b04-1e98-4548-8b84-e016af2fcdc0,Mitchell Jamescarry,24.0,wanda92@cummings-harris.com,1978-04-14,141163.0,Engineering
437,455f475f-401d-431d-a85d-0da0b7db693a,Yolanda Cherry,29.0,joshua98@farley.org,2014-01-09,89526.0,Salesy
537,0d73aec7-eec7-45c8-bf46-caedb6ee6bd1,Angel Anderson,22.0,hbarrett@stevens.net,1983-12-04,76078.0,Support
556,179cfbfc-5bc1-492b-8d18-99b8ceec9163,Matthew Martinez,38.0,megancarpenter@jones-payne.org,1982-06-29,96782.0,Sales
606,a15a46a2-cad7-404d-bd15-7092aee3e4ec,Derrick Garrisonhear,51.0,elizabeth00@robinson.com,2022-07-03,129293.5996013248,Engineering
625,1b96e948-b710-4023-8b29-8fc40498e0ce,Eric Miller,58.0,kruegerheather@harris.info,1986-09-12,64233.953886643016,Marketing
643,cd59a51d-506f-476d-a921-8795344d590e,Rachel Anderson,52.0,tammydavis@crane.com,1992-03-22,67197.0,Sales
653,f77f23ad-b22b-494e-95a4-e1af5f934ef8,John Collinsrather,43.0,cookalexis@kramer-turner.com,1983-02-16,79961.0,Support
657,b78c1f1d-6322-4b98-ab5a-c873134b5ae1,Michael White,28.0,lindseymartinez@huber.com,1982-07-29,53428.0,EngineeringR
665,f5abe0db-9150-41f8-8e80-feaefa228a6f,Keith Lewisseek,34.0,william94@flores.biz,2022-05-16,135368.86494151247,Engineering
